//Loading PDBs.
//PDB loading of cell: NEURON
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
65                       6.21e-16   5.09e-16   8.21e-01    NEURON  65       NET7<2>  
66                       5.44e-16   5.19e-16   9.54e-01    NEURON  66       NET7<1>  
67                       4.30e-16   4.07e-16   9.45e-01    NEURON  67       NET7<0>  
68                       7.78e-16   6.70e-16   8.60e-01    NEURON  68       XI6/NET2  
69                       3.74e-16   3.61e-16   9.65e-01    NEURON  69       XI6/XI2/NET2  
70                       3.75e-16   3.61e-16   9.63e-01    NEURON  70       XI6/XI1/NET2  
71                       4.36e-16   3.53e-16   8.10e-01    NEURON  71       XI4/XI8/XI0/NET23  
72                       3.37e-16   2.74e-16   8.14e-01    NEURON  72       XI4/XI8/XI0/NET1  
73                       3.35e-16   2.72e-16   8.13e-01    NEURON  73       XI4/XI5/NET6  
74                       4.36e-16   3.51e-16   8.05e-01    NEURON  74       XI5/XI7/XI0/NET23  
75                       3.36e-16   2.73e-16   8.13e-01    NEURON  75       XI5/XI7/XI0/NET1  
76                       3.35e-16   2.72e-16   8.14e-01    NEURON  76       XI5/XI8/NET6  
77                       2.09e-16   1.21e-16   5.78e-01    NEURON  Z<2>     Z<2>  
78                       1.81e-16   1.04e-16   5.72e-01    NEURON  Z<0>     Z<0>  
79                       1.81e-16   1.03e-16   5.69e-01    NEURON  Z<1>     Z<1>  
80                       2.88e-17   2.67e-17   9.29e-01    NEURON  80       XI2/XI4/NET7  
81                       2.89e-17   2.73e-17   9.43e-01    NEURON  81       XI2/XI5/NET7  
82                       2.88e-17   2.68e-17   9.32e-01    NEURON  82       XI2/XI4/NET1  
83                       2.90e-17   2.73e-17   9.41e-01    NEURON  83       XI2/XI5/NET1  
84                       2.89e-17   2.74e-17   9.47e-01    NEURON  84       XI4/XI5/XI0/NET1  
85                       2.90e-17   2.68e-17   9.26e-01    NEURON  85       XI4/XI8/XI2/XI7/NET1  
86                       2.90e-17   2.69e-17   9.28e-01    NEURON  86       XI4/XI8/XI2/XI9/NET1  
87                       2.90e-17   2.68e-17   9.26e-01    NEURON  87       XI2/XI6/NET7  
88                       2.94e-17   2.79e-17   9.50e-01    NEURON  88       XI2/XI2/NET1  
89                       2.90e-17   2.74e-17   9.45e-01    NEURON  89       XI4/XI5/XI0/NET7  
90                       2.88e-17   2.69e-17   9.36e-01    NEURON  90       XI4/XI8/XI2/XI7/NET7  
91                       2.90e-17   2.68e-17   9.26e-01    NEURON  91       XI4/XI8/XI2/XI9/NET7  
92                       2.90e-17   2.70e-17   9.33e-01    NEURON  92       XI2/XI6/NET1  
93                       2.92e-17   2.79e-17   9.56e-01    NEURON  93       XI2/XI2/NET1  
94                       2.89e-17   2.72e-17   9.42e-01    NEURON  94       XI4/XI8/XI2/XI8/NET1  
95                       2.90e-17   2.73e-17   9.41e-01    NEURON  95       XI4/XI8/XI2/XI10/NET7  
96                       3.00e-17   2.82e-17   9.42e-01    NEURON  96       XI2/XI3/NET1  
97                       2.89e-17   2.74e-17   9.47e-01    NEURON  97       XI4/XI8/XI2/XI8/NET7  
98                       2.92e-17   2.79e-17   9.56e-01    NEURON  98       XI3/XI3/NET1  
99                       2.89e-17   2.77e-17   9.59e-01    NEURON  99       XI4/XI8/XI0/NET13  
100                      2.90e-17   2.69e-17   9.28e-01    NEURON  100      XI4/XI8/XI2/XI10/NET1  
101                      2.97e-17   2.83e-17   9.53e-01    NEURON  101      XI2/XI3/NET1  
102                      2.94e-17   2.80e-17   9.51e-01    NEURON  102      XI3/XI3/NET1  
103                      2.88e-17   2.69e-17   9.34e-01    NEURON  103      XI4/XI8/XI0/NET13  
104                      2.88e-17   2.70e-17   9.37e-01    NEURON  104      XI4/XI8/XI3/XI7/NET1  
105                      2.90e-17   2.73e-17   9.44e-01    NEURON  105      XI4/XI8/XI3/XI9/NET1  
106                      2.89e-17   2.70e-17   9.34e-01    NEURON  106      XI4/XI8/XI3/XI7/NET7  
107                      2.97e-17   2.83e-17   9.52e-01    NEURON  107      XI3/XI2/NET1  
108                      2.90e-17   2.73e-17   9.42e-01    NEURON  108      XI3/XI6/NET1  
109                      2.89e-17   2.71e-17   9.35e-01    NEURON  109      XI4/XI8/XI3/XI9/NET7  
110                      2.94e-17   2.80e-17   9.53e-01    NEURON  110      XI3/XI2/NET1  
111                      2.89e-17   2.73e-17   9.43e-01    NEURON  111      XI3/XI6/NET7  
112                      2.88e-17   2.68e-17   9.30e-01    NEURON  112      XI4/XI8/XI3/XI8/NET1  
113                      2.89e-17   2.73e-17   9.44e-01    NEURON  113      XI4/XI8/XI3/XI10/NET7  
114                      2.88e-17   2.69e-17   9.37e-01    NEURON  114      XI4/XI8/XI3/XI8/NET7  
115                      2.90e-17   2.71e-17   9.36e-01    NEURON  115      XI3/XI5/NET1  
116                      2.90e-17   2.74e-17   9.47e-01    NEURON  116      XI3/XI4/NET1  
117                      2.90e-17   2.71e-17   9.35e-01    NEURON  117      XI4/XI8/XI3/XI10/NET1  
118                      2.89e-17   2.71e-17   9.39e-01    NEURON  118      XI3/XI5/NET7  
119                      2.89e-17   2.76e-17   9.56e-01    NEURON  119      XI3/XI4/NET7  
120                      2.89e-17   2.73e-17   9.44e-01    NEURON  120      XI5/XI8/XI0/NET1  
121                      2.90e-17   2.69e-17   9.28e-01    NEURON  121      XI5/XI7/XI2/XI7/NET1  
122                      2.89e-17   2.71e-17   9.37e-01    NEURON  122      XI5/XI9/XI4/XI7/NET1  
123                      2.90e-17   2.73e-17   9.42e-01    NEURON  123      XI5/XI7/XI2/XI9/NET1  
124                      2.90e-17   2.74e-17   9.45e-01    NEURON  124      XI5/XI9/XI4/XI9/NET1  
125                      2.90e-17   2.74e-17   9.46e-01    NEURON  125      XI5/XI8/XI0/NET7  
